label1,label2,r1,r2,r3,r4,r1p,r2p,r3p,r4p
100.0,100.0,199.0,1.0,100.0,99.0,234.26094,0.07638095,117.1368,116.99002
41.0,41.0,136.0,54.0,95.0,41.0,207.87138,12.43971,110.15583,97.719215
114.0,114.0,246.0,18.0,132.0,114.0,220.14929,6.5675583,113.3633,106.78765
126.0,126.0,215.0,37.0,126.0,89.0,223.63194,13.59206,118.615616,105.0225
92.0,92.0,198.0,14.0,106.0,92.0,221.05888,14.118955,117.593666,103.46114
93.0,93.0,198.0,12.0,105.0,93.0,234.69092,9.407498,122.05353,112.64084
108.0,108.0,219.0,3.0,111.0,108.0,226.28833,2.0735219,114.18661,112.10029
99.0,99.0,178.0,20.0,99.0,79.0,221.60841,18.13131,119.8742,101.739555
103.0,103.0,230.0,24.0,127.0,103.0,225.62251,1.7475197,113.689316,111.93087
133.0,133.0,236.5,29.5,133.0,103.5,220.29614,3.3845608,111.84153,108.45881
115.0,115.0,229.0,1.0,115.0,114.0,223.94684,2.2810757,113.12004,110.82437
113.0,113.0,185.0,41.0,113.0,72.0,243.33171,12.697359,128.02016,115.3174
121.5,121.5,247.5,4.5,126.0,121.5,244.70718,5.512532,125.113846,119.596756
96.0,96.0,197.0,5.0,101.0,96.0,219.4586,12.180187,115.82517,103.629166
95.0,95.0,188.0,2.0,95.0,93.0,192.33209,6.0061235,99.164665,93.17121
117.0,117.0,247.0,13.0,130.0,117.0,247.02687,14.278752,130.65387,116.3781
100.0,100.0,200.0,0.0,100.0,100.0,221.14803,14.675965,117.91509,103.24099
41.0,41.0,150.0,68.0,109.0,41.0,230.49051,10.911531,120.70606,109.78158
114.0,114.0,224.0,4.0,114.0,110.0,230.65349,3.2723305,116.96775,113.682556
126.0,126.0,213.5,38.5,126.0,87.5,219.88544,16.973583,118.4324,101.46001
92.0,92.0,196.0,12.0,104.0,92.0,211.21942,4.411021,107.818886,103.40397
93.0,93.0,208.0,22.0,115.0,93.0,247.42427,3.277816,125.356705,122.07189
108.0,108.0,215.0,1.0,108.0,107.0,213.45174,12.548215,113.001724,100.45381
99.0,99.0,172.0,26.0,99.0,73.0,231.48897,8.41718,119.95848,111.53469
103.0,103.0,199.0,7.0,103.0,96.0,211.07365,16.911266,113.99477,97.082535
133.0,133.0,213.0,53.0,133.0,80.0,217.05461,6.720022,111.888275,105.17353
115.0,115.0,243.0,13.0,128.0,115.0,222.25282,1.2826378,111.773705,110.47827
113.0,113.0,229.0,3.0,116.0,113.0,238.82278,16.635834,127.735146,111.09613
121.5,121.5,224.5,18.5,121.5,103.0,233.2558,17.835133,125.55169,107.709595
96.0,96.0,196.0,4.0,100.0,96.0,214.90858,8.182782,111.550644,103.35623
95.0,95.0,222.0,32.0,127.0,95.0,201.14027,14.76773,107.95554,93.186005
117.0,117.0,258.0,24.0,141.0,117.0,243.0576,18.522978,130.79272,112.2699
100.0,100.0,219.0,19.0,119.0,100.0,216.80879,18.91342,117.8632,98.954506
41.0,41.0,130.0,48.0,89.0,41.0,212.90385,7.6178837,110.26245,102.645
114.0,114.0,220.0,8.0,114.0,106.0,219.84938,6.9864635,113.4226,106.42833
126.0,126.0,222.0,30.0,126.0,96.0,218.85127,18.079945,118.46779,100.39168
92.0,92.0,188.5,4.5,96.5,92.0,209.89172,2.9424508,106.41973,103.474945
93.0,93.0,171.0,15.0,93.0,78.0,225.84245,18.514055,122.1819,103.665016
108.0,108.0,205.0,11.0,108.0,97.0,216.81456,8.557592,112.68956,104.12694
99.0,99.0,188.0,10.0,99.0,89.0,231.84782,7.5951166,119.7274,112.123505
103.0,103.0,227.0,21.0,124.0,103.0,228.84138,1.8792279,115.36673,113.47191
133.0,133.0,217.0,49.0,133.0,84.0,220.7452,2.646991,111.69759,109.051956
115.0,115.0,203.0,27.0,115.0,88.0,226.43556,5.0959616,115.7718,110.660614
113.0,113.0,224.0,2.0,113.0,111.0,234.4611,20.956675,127.71408,106.75722
121.5,121.5,234.5,8.5,121.5,113.0,241.52446,9.715849,125.625824,115.90198
96.0,96.0,192.5,0.5,96.5,96.0,215.69771,8.939524,112.32356,103.37283
95.0,95.0,175.0,15.0,95.0,80.0,207.54716,20.676937,114.115295,93.43234
117.0,117.0,241.0,7.0,124.0,117.0,238.97264,22.778648,130.88013,108.09291
100.0,100.0,213.0,13.0,113.0,100.0,229.20082,6.334017,117.77257,111.42947
41.0,41.0,164.0,82.0,123.0,41.0,226.24864,6.3919363,116.32438,109.92273
114.0,114.0,241.0,13.0,127.0,114.0,232.04968,5.277438,118.669075,113.37669
126.0,126.0,258.0,6.0,132.0,126.0,234.41617,0.50214314,117.45172,116.92759
92.0,92.0,206.0,22.0,114.0,92.0,219.52046,12.582689,116.05666,103.459366
93.0,93.0,203.0,17.0,110.0,93.0,229.80498,14.768639,122.29164,107.51593
108.0,108.0,186.0,30.0,108.0,78.0,219.33661,6.048174,112.6961,106.64166
99.0,99.0,192.0,6.0,99.0,93.0,223.12402,16.649027,119.891426,103.23835
103.0,103.0,220.0,14.0,117.0,103.0,224.39691,2.7758,113.59141,110.803
133.0,133.0,236.0,30.0,133.0,103.0,223.50764,1.348367,112.42875,111.08556
115.0,115.0,222.0,8.0,115.0,107.0,221.70718,0.53308415,111.1235,110.57608
113.0,113.0,211.0,15.0,113.0,98.0,233.46872,21.83627,127.65952,105.81433
121.5,121.5,223.5,19.5,121.5,102.0,237.84888,13.756675,125.80994,112.041695
96.0,96.0,207.0,15.0,111.0,96.0,209.73909,2.5186913,106.130455,103.609665
95.0,95.0,207.0,17.0,112.0,95.0,207.71254,20.818312,114.26882,93.44211
117.0,117.0,242.0,8.0,125.0,117.0,233.29228,28.870506,131.0836,102.206665
100.0,100.0,188.0,12.0,100.0,88.0,228.59201,6.6722593,117.63738,110.95653
41.0,41.0,154.0,72.0,113.0,41.0,229.66103,9.97386,119.82296,109.8359
114.0,114.0,214.0,14.0,114.0,100.0,240.0805,13.457246,126.77366,113.303276
126.0,126.0,238.0,14.0,126.0,112.0,228.40944,8.06277,118.24099,110.1709
92.0,92.0,201.0,17.0,109.0,92.0,211.08975,4.4288282,107.76371,103.329094
93.0,93.0,210.0,24.0,117.0,93.0,243.15952,0.03628848,121.561134,121.44156
108.0,108.0,186.0,30.0,108.0,78.0,205.7397,21.011633,113.377686,92.36912
99.0,99.0,206.0,8.0,107.0,99.0,224.64,15.297885,119.974266,104.670425
103.0,103.0,206.0,0.0,103.0,103.0,225.96065,0.3092148,113.12374,112.770096
133.0,133.0,248.0,18.0,133.0,115.0,213.04523,10.847729,111.94654,101.10962
115.0,115.0,244.0,14.0,129.0,115.0,217.8298,3.6002457,110.71858,107.11198
113.0,113.0,207.0,19.0,113.0,94.0,224.84639,30.64608,127.74878,97.10675
121.5,121.5,222.5,20.5,121.5,101.0,236.95494,13.661119,125.31413,111.64726
96.0,96.0,201.0,9.0,105.0,96.0,225.34506,18.35608,121.854866,103.48597
95.0,95.0,220.0,30.0,125.0,95.0,212.09079,25.27238,118.684906,93.401825
117.0,117.0,237.0,3.0,120.0,117.0,246.2072,15.973013,131.09166,115.120735
100.0,100.0,197.0,3.0,100.0,97.0,232.27876,3.0844128,117.68658,114.5912
41.0,41.0,138.0,56.0,97.0,41.0,214.4723,6.4488764,110.461975,104.013855
114.0,114.0,201.0,27.0,114.0,87.0,227.2364,0.5553944,113.8984,113.326096
126.0,126.0,213.0,39.0,126.0,87.0,231.63675,4.598443,118.120705,113.51903
92.0,92.0,202.0,18.0,110.0,92.0,217.94875,11.0563345,114.50806,103.4368
93.0,93.0,205.0,19.0,112.0,93.0,235.034,9.771359,122.406845,112.629
108.0,108.0,207.0,9.0,108.0,99.0,224.08478,0.83162236,112.46145,111.62131
99.0,99.0,190.0,8.0,99.0,91.0,227.31473,12.531482,119.929245,107.38806
103.0,103.0,226.0,20.0,123.0,103.0,231.99156,5.4952974,118.753746,113.23231
133.0,133.0,216.0,50.0,133.0,83.0,213.2084,10.633204,111.922424,101.29507
115.0,115.0,215.0,15.0,115.0,100.0,223.01422,1.6865437,112.35595,110.656
113.0,113.0,204.0,22.0,113.0,91.0,240.7597,14.117751,127.44446,113.324295
121.5,121.5,221.5,21.5,121.5,100.0,235.69302,15.271817,125.48815,110.21164
96.0,96.0,218.0,26.0,122.0,96.0,218.36044,11.429519,114.8996,103.45812
95.0,95.0,202.0,12.0,107.0,95.0,210.13103,23.380495,116.75913,93.368286
117.0,117.0,226.0,8.0,117.0,109.0,240.07645,21.879782,130.9806,109.09927
100.0,100.0,218.5,18.5,118.5,100.0,233.68599,1.165477,117.4278,116.2587
41.0,41.0,161.0,79.0,120.0,41.0,219.42001,0.68377423,110.05521,109.36316
114.0,114.0,221.0,7.0,114.0,107.0,225.2271,0.56345105,112.89818,112.32185
126.0,126.0,253.0,1.0,127.0,126.0,231.1428,4.4819727,117.81825,113.32619
92.0,92.0,216.5,32.5,124.5,92.0,215.98453,9.237239,112.616425,103.36679
93.0,93.0,205.0,19.0,112.0,93.0,246.92635,2.4270413,124.68166,122.249214
108.0,108.0,214.0,2.0,108.0,106.0,224.17198,0.6556561,112.41713,111.753006
99.0,99.0,211.0,13.0,112.0,99.0,240.85817,1.285516,121.075745,119.783325
103.0,103.0,180.0,26.0,103.0,77.0,219.67094,7.519308,113.6014,106.068214
133.0,133.0,237.0,29.0,133.0,104.0,222.40944,1.4311364,111.92119,110.49322
94.0,94.0,209.0,21.0,115.0,94.0,219.93355,0.9144757,110.42762,109.506424
114.0,114.0,227.0,1.0,114.0,113.0,242.96104,11.108995,127.040535,115.92444
107.0,107.0,228.5,14.5,121.5,107.0,233.38622,17.583082,125.489426,107.89136
105.0,105.0,201.0,9.0,105.0,96.0,208.13855,1.4386265,104.78733,103.353165
125.5,125.5,220.5,30.5,125.5,95.0,200.76001,14.050349,107.40646,93.360275
113.0,113.0,230.0,4.0,117.0,113.0,234.79271,27.181496,130.99043,103.80679
144.0,144.0,244.0,44.0,144.0,100.0,227.36475,8.382323,117.87718,109.49426
106.0,106.0,147.0,65.0,106.0,41.0,209.39157,11.352871,110.37693,99.02326
120.0,120.0,234.0,6.0,120.0,114.0,226.92029,0.88331723,113.90478,113.01416
118.5,118.5,244.5,7.5,126.0,118.5,228.58072,7.8257895,118.20823,110.37035
107.0,107.0,199.0,15.0,107.0,92.0,207.42612,0.663646,104.04465,103.38595
125.0,125.0,218.0,32.0,125.0,93.0,221.33044,23.401192,122.37157,98.961914
90.0,90.0,198.0,18.0,108.0,90.0,222.09286,3.7214959,112.91055,109.18844
108.5,108.5,207.5,9.5,108.5,99.0,231.2725,8.276013,119.777695,111.49983
134.0,134.0,237.0,31.0,134.0,103.0,231.63109,3.5405552,117.588455,114.04625
123.0,123.0,256.0,10.0,133.0,123.0,221.5682,2.1653645,111.871765,109.69448
94.0,94.0,188.0,0.0,94.0,94.0,218.91173,0.37569734,109.63675,109.233086
114.0,114.0,228.0,0.0,114.0,114.0,230.20319,0.87200284,115.54237,114.66327
107.0,107.0,214.0,0.0,107.0,107.0,215.69109,0.6088021,108.15492,107.53754
105.0,105.0,210.0,0.0,105.0,105.0,209.03606,0.52160573,104.78017,104.26017
125.5,125.5,251.0,0.0,125.5,125.5,213.96806,0.5385392,107.25628,106.713104
113.0,113.0,226.0,0.0,113.0,113.0,208.02391,0.19917224,104.08652,103.87225
144.0,144.0,288.0,0.0,144.0,144.0,219.0303,1.590831,110.31143,108.72188
106.0,106.0,212.0,0.0,106.0,106.0,198.15863,0.77914166,99.4658,98.703896
120.0,120.0,240.0,0.0,120.0,120.0,227.67949,0.029063445,113.82493,113.721466
118.5,118.5,237.0,0.0,118.5,118.5,219.8856,0.21794246,110.03557,109.770584
107.0,107.0,214.0,0.0,107.0,107.0,207.65286,0.35197756,103.993256,103.6271
125.0,125.0,250.0,0.0,125.0,125.0,197.936,0.5512116,99.24025,98.70597
90.0,90.0,180.0,0.0,90.0,90.0,218.76166,1.451812,110.10862,108.65495
108.5,108.5,217.0,0.0,108.5,108.5,222.81648,1.2117989,112.016304,110.800316
134.0,134.0,268.0,0.0,134.0,134.0,235.76659,0.48667642,118.118935,117.60624
123.0,123.0,246.0,0.0,123.0,123.0,219.14633,0.49102327,109.81804,109.31232
94.0,94.0,188.0,0.0,94.0,94.0,218.7718,0.50414205,109.63656,109.121475
114.0,114.0,224.0,4.0,114.0,110.0,234.38928,2.7891686,118.59433,115.800186
107.0,107.0,246.0,32.0,139.0,107.0,227.45145,12.067505,119.76714,107.6785
105.0,105.0,194.0,16.0,105.0,89.0,213.55283,4.0429707,108.80065,104.75816
125.5,125.5,240.5,10.5,125.5,115.0,219.20003,6.0720644,112.643105,106.55472
113.0,113.0,213.0,13.0,113.0,100.0,212.80144,4.736596,108.77236,104.031364
144.0,144.0,257.0,31.0,144.0,113.0,228.79607,9.678085,119.24087,109.5614
106.0,106.0,217.0,5.0,111.0,106.0,213.15791,14.956788,114.06327,99.10074
120.0,120.0,228.0,12.0,120.0,108.0,215.32771,13.00205,114.16737,101.163445
118.5,118.5,218.5,18.5,118.5,100.0,226.37683,6.310693,116.34944,110.02504
107.0,107.0,227.0,13.0,120.0,107.0,213.08208,5.4546185,109.27143,103.81026
125.0,125.0,233.5,16.5,125.0,108.5,208.13766,10.553613,109.35064,98.79466
90.0,90.0,194.0,14.0,104.0,90.0,216.14151,2.9954426,109.56827,106.57525
108.5,108.5,216.5,0.5,108.5,108.0,226.77542,3.5139058,115.14818,111.63054
134.0,134.0,231.0,37.0,134.0,97.0,228.68092,7.365199,118.02706,110.6582
123.0,123.0,243.0,3.0,123.0,120.0,208.87704,10.823644,109.85115,99.02936
94.0,94.0,207.0,19.0,113.0,94.0,216.64781,2.0181992,109.33432,107.311714
114.0,114.0,221.0,7.0,114.0,107.0,229.49397,0.9364884,115.21629,114.27784
107.0,107.0,233.0,19.0,126.0,107.0,217.59196,2.0127308,109.808105,107.782
105.0,105.0,200.0,10.0,105.0,95.0,215.69292,6.3632803,111.031906,104.6672
125.5,125.5,226.5,24.5,125.5,101.0,203.52954,11.271577,107.40152,96.1339
113.0,113.0,215.0,11.0,113.0,102.0,217.50975,9.023319,113.2704,104.23858
144.0,144.0,243.0,45.0,144.0,99.0,226.35362,7.7987556,117.07909,109.28192
106.0,106.0,201.0,11.0,106.0,95.0,196.65779,0.81527066,98.73232,97.936676
120.0,120.0,252.0,12.0,132.0,120.0,220.84106,7.5135555,114.181435,106.661316
118.5,118.5,207.5,29.5,118.5,89.0,215.00514,5.2570477,110.13354,104.87239
107.0,107.0,213.0,1.0,107.0,106.0,221.3013,13.858322,117.584274,103.71383
125.0,125.0,230.0,20.0,125.0,105.0,211.99359,14.097216,113.05122,98.94841
90.0,90.0,201.0,21.0,111.0,90.0,223.17502,5.7126904,114.44902,108.732475
108.5,108.5,187.5,29.5,108.5,79.0,213.02985,10.010491,111.52042,101.51437
134.0,134.0,261.0,7.0,134.0,127.0,230.20915,6.014306,118.115005,112.09743
123.0,123.0,226.5,19.5,123.0,103.5,217.87213,1.3217156,109.5994,108.27055
94.0,94.0,208.0,20.0,114.0,94.0,223.0557,3.4565957,113.26117,109.79482
114.0,114.0,186.0,42.0,114.0,72.0,230.6712,1.1028054,115.887596,114.78208
107.0,107.0,233.0,19.0,126.0,107.0,227.8887,12.108214,120.005905,107.87687
105.0,105.0,206.0,4.0,105.0,101.0,220.48154,10.780793,115.636086,104.84853
125.5,125.5,218.5,32.5,125.5,93.0,205.67244,8.439037,107.05669,98.620865
113.0,113.0,243.0,17.0,130.0,113.0,220.84512,12.996992,116.92464,103.92019
144.0,144.0,244.0,44.0,144.0,100.0,212.8786,6.97373,109.92534,102.96055
106.0,106.0,215.0,3.0,109.0,106.0,219.84947,21.578255,120.71959,99.134155
120.0,120.0,230.0,10.0,120.0,110.0,231.27,1.7320416,116.50544,114.76457
118.5,118.5,206.0,31.0,118.5,87.5,211.32965,8.9866495,110.16033,101.17058
107.0,107.0,211.0,3.0,107.0,104.0,211.40636,3.8544056,107.633514,103.77606
125.0,125.0,240.0,10.0,125.0,115.0,225.27722,27.284615,126.285614,98.99835
90.0,90.0,197.0,17.0,107.0,90.0,210.16351,9.512572,109.83674,100.3325
108.5,108.5,181.5,35.5,108.5,73.0,222.92392,0.96516347,111.94482,110.9798
134.0,134.0,230.0,38.0,134.0,96.0,215.0256,20.999485,118.01365,97.024376
123.0,123.0,203.0,43.0,123.0,80.0,214.69777,4.6672792,109.68474,105.014
94.0,94.0,222.0,34.0,128.0,94.0,221.3704,2.3445065,111.86242,109.50993
114.0,114.0,230.0,2.0,116.0,114.0,225.69373,5.06301,115.379814,110.314606
107.0,107.0,210.0,4.0,107.0,103.0,215.51866,0.55943036,108.044495,107.474106
105.0,105.0,205.0,5.0,105.0,100.0,215.91066,6.730233,111.32444,104.59148
125.5,125.5,252.5,1.5,127.0,125.5,214.34154,0.8755276,107.61226,106.72923
113.0,113.0,254.0,28.0,141.0,113.0,216.52928,8.76166,112.64978,103.88105
144.0,144.0,263.0,25.0,144.0,119.0,208.49628,11.067514,109.78032,98.72592
106.0,106.0,195.0,17.0,106.0,89.0,202.03137,3.4078944,102.719025,99.32274
120.0,120.0,226.0,14.0,120.0,106.0,220.5368,7.9268417,114.2357,106.30253
118.5,118.5,214.5,22.5,118.5,96.0,210.42844,10.109785,110.270386,100.16008
107.0,107.0,203.5,10.5,107.0,96.5,210.10231,2.3147461,106.210655,103.89425
125.0,125.0,203.0,47.0,125.0,78.0,202.83418,4.835661,103.83589,99.00641
90.0,90.0,187.0,7.0,97.0,90.0,213.59723,5.1823864,109.38986,104.210266
108.5,108.5,197.5,19.5,108.5,89.0,223.23807,0.9736512,112.10765,111.13295
134.0,134.0,258.0,10.0,134.0,124.0,233.34985,0.9822171,117.16838,116.18219
123.0,123.0,207.0,39.0,123.0,84.0,218.31961,0.5329068,109.428314,108.88575
94.0,94.0,182.0,6.0,94.0,88.0,225.48305,6.2982855,115.89566,109.5869
114.0,114.0,225.0,3.0,114.0,111.0,221.67102,9.396696,115.53485,106.14054
107.0,107.0,220.0,6.0,113.0,107.0,224.75008,8.611074,116.68811,108.055695
105.0,105.0,201.5,8.5,105.0,96.5,216.65228,7.600112,112.130264,104.52757
125.5,125.5,205.5,45.5,125.5,80.0,220.52615,7.181841,113.86018,106.66327
113.0,113.0,237.0,11.0,124.0,113.0,212.11798,4.0271845,108.07664,104.04367
144.0,144.0,257.0,31.0,144.0,113.0,220.94322,2.0128891,111.479996,109.46973
106.0,106.0,229.0,17.0,123.0,106.0,215.57727,17.345592,116.46656,99.118484
120.0,120.0,247.0,7.0,127.0,120.0,232.75359,3.7446835,118.25442,114.498215
118.5,118.5,250.5,13.5,132.0,118.5,226.19678,6.46222,116.33513,109.85986
107.0,107.0,221.0,7.0,114.0,107.0,219.77817,12.299935,116.04388,103.7307
125.0,125.0,235.0,15.0,125.0,110.0,206.95403,9.254476,108.10808,98.85374
90.0,90.0,168.0,12.0,90.0,78.0,216.02751,2.558181,109.292694,106.73648
108.5,108.5,201.5,15.5,108.5,93.0,214.50555,8.466865,111.486626,103.02328
134.0,134.0,251.0,17.0,134.0,117.0,228.96089,6.9909773,117.9799,110.984055
123.0,123.0,226.0,20.0,123.0,103.0,221.18535,1.8236935,111.50862,109.67636
94.0,94.0,201.0,13.0,107.0,94.0,220.81596,1.5857117,111.204895,109.61243
114.0,114.0,212.0,16.0,114.0,98.0,220.54395,9.999776,115.27425,105.270645
107.0,107.0,209.0,5.0,107.0,102.0,220.98105,4.836569,112.91606,108.06083
105.0,105.0,216.0,6.0,111.0,105.0,210.66473,0.887624,105.77613,104.893005
125.5,125.5,237.5,13.5,125.5,112.0,220.91705,7.2080946,114.06873,106.844055
113.0,113.0,238.0,12.0,125.0,113.0,206.29149,1.6379654,103.964226,102.32891
144.0,144.0,232.0,56.0,144.0,88.0,220.18932,1.5884221,110.89071,109.3059
106.0,106.0,219.0,7.0,113.0,106.0,219.00896,20.725565,119.87351,99.13974
120.0,120.0,220.0,20.0,120.0,100.0,240.81645,11.995669,126.41085,114.40361
118.5,118.5,230.5,6.5,118.5,112.0,219.76215,0.33295748,110.03817,109.670334
107.0,107.0,216.0,2.0,109.0,107.0,211.27458,3.80742,107.54491,103.7326
125.0,125.0,242.0,8.0,125.0,117.0,221.12518,23.241264,122.18922,98.939606
90.0,90.0,168.0,12.0,90.0,78.0,202.29233,18.112368,110.20176,92.10035
108.5,108.5,215.5,1.5,108.5,107.0,216.0163,6.814809,111.416115,104.60313
134.0,134.0,237.0,31.0,134.0,103.0,230.72635,4.273057,117.503235,113.22568
123.0,123.0,238.0,8.0,123.0,115.0,210.7594,8.781716,109.77147,100.99133
94.0,94.0,223.0,35.0,129.0,94.0,216.8322,2.4283764,109.63094,107.19969
114.0,114.0,208.0,20.0,114.0,94.0,212.13194,18.405603,115.267365,96.87182
107.0,107.0,208.0,6.0,107.0,101.0,219.21526,3.8408768,111.53536,107.67736
105.0,105.0,210.0,0.0,105.0,105.0,226.40176,17.09495,121.75208,104.65378
125.5,125.5,250.5,0.5,125.5,125.0,225.31326,11.656752,118.49116,106.8169
113.0,113.0,233.0,7.0,120.0,113.0,220.2598,12.184901,116.22619,104.03288
144.0,144.0,241.0,47.0,144.0,97.0,224.06375,4.870517,114.471695,109.60117
106.0,106.0,203.0,9.0,106.0,97.0,203.61339,4.7572527,104.185425,99.43758
120.0,120.0,207.0,33.0,120.0,87.0,227.8712,0.48076555,114.1719,113.66734
118.5,118.5,205.5,31.5,118.5,87.0,223.08842,2.8543217,112.97608,110.11115
107.0,107.0,217.0,3.0,110.0,107.0,218.1989,10.698932,114.45404,103.74174
125.0,125.0,237.0,13.0,125.0,112.0,212.4126,14.380222,113.40195,99.01593
90.0,90.0,189.0,9.0,99.0,90.0,220.91478,2.5684636,111.744576,109.1759
108.5,108.5,199.5,17.5,108.5,91.0,218.73817,3.9129422,111.32642,107.4116
134.0,134.0,257.0,11.0,134.0,123.0,236.31783,2.2304814,119.28428,117.0358
123.0,123.0,206.0,40.0,123.0,83.0,210.89348,8.596485,109.74765,101.14762
94.0,94.0,194.0,6.0,100.0,94.0,222.13155,2.8489869,112.49485,109.63721
114.0,114.0,205.0,23.0,114.0,91.0,227.43597,2.646869,115.042625,112.39345
107.0,107.0,207.0,7.0,107.0,100.0,218.28758,2.634679,110.46702,107.81806
105.0,105.0,227.0,17.0,122.0,105.0,219.3276,10.149247,114.7422,104.589554
125.5,125.5,232.5,18.5,125.5,107.0,223.5286,9.599233,116.569824,106.953995
113.0,113.0,222.0,4.0,113.0,109.0,213.55159,5.2548914,109.40597,104.14705
144.0,144.0,262.5,25.5,144.0,118.5,225.80707,7.0027075,116.40789,109.40625
106.0,106.0,226.0,14.0,120.0,106.0,208.83568,10.840148,109.84357,99.00204
120.0,120.0,227.0,13.0,120.0,107.0,225.97823,1.6573555,113.82118,112.15532
